Strain Amplitude (%),Material,Heat Treatment,Cycle,Relative Cycle,eIP (%),sigmayT (MPa),sigma dot _T (GPa),Wp (kJ/m3),We+ (kJ/m3),sigmaMT (MPa),sigmaMC (MPa)
0.4,0,400,8191,0.99987793,0.347915,-39.6055073,46.74418079,0.013037664,0.049833562,252.3247274,-202.4413278
0.6,0,400,3,0.001732102,0.283742,-59.89183472,59.7249244,0.013947199,0.038695178,211.8144855,-160.955067
0.6,0,400,4,0.002309469,0.300074,-164.4821267,57.59732689,0.016701663,0.040011674,217.5308412,-165.1987345
0.6,0,400,7,0.00404157,0.339065,-34.54526922,48.47350216,0.02604957,0.045070181,229.97477,-173.9196758
0.6,0,400,11,0.006351039,0.382581,-37.11719871,40.57465848,0.037324798,0.049072436,239.7503484,-182.8752998
0.6,0,400,18,0.01039261,0.442143,-54.91397614,27.82570572,0.050617127,0.052565053,249.1333535,-194.4432948
0.6,0,400,29,0.016743649,0.172219,-41.56038246,24.84880564,0.060962123,0.056349599,256.9248935,-204.3842995
0.6,0,400,45,0.025981524,0.0113821,-49.54569727,22.30606226,0.066569165,0.057704237,260.8936879,-209.5042596
0.6,0,400,72,0.041570439,0.46977,-39.33879059,21.80229288,0.068861829,0.059370245,264.2000597,-214.6296023
0.6,0,400,113,0.065242494,0.499325,-38.51991275,21.4443067,0.068837678,0.05925048,266.2382832,-215.5145071
0.6,0,400,178,0.102771363,0.523019,-23.0488632,22.31226464,0.067766089,0.061704796,270.8982076,-217.8401632
0.6,0,400,281,0.162240185,0.518246,-31.25034453,22.96162,0.066334344,0.0635153,275.571768,-218.3741203
0.6,0,400,443,0.255773672,0.495768,-15.30167605,23.70114431,0.062903341,0.06653035,281.0954256,-224.2824567
0.6,0,400,698,0.403002309,0.519409,-24.2468219,24.88355369,0.060181886,0.06915788,286.9607008,-230.0214195
0.6,0,400,866,0.5,0.461769,-22.200345,25.05197438,0.059071669,0.070004491,289.5199632,-231.6943417
0.6,0,400,1099,0.634526559,0.541358,-20.63256356,25.64979832,0.058185669,0.071623595,290.3535535,-234.0738241
0.6,0,400,1731,0.999422633,0.194607,7.245202836,26.8306051,0.063177569,0.050930153,224.3136759,-236.4403882
0.8,0,400,3,0.003222342,0.382276,-77.72719945,26.76536317,0.055547308,0.046357894,230.6173119,-186.2527192
0.8,0,400,4,0.004296455,0.0272703,-69.07407688,25.78746944,0.056880382,0.047840036,234.309612,-191.1855833
0.8,0,400,6,0.006444683,0.444069,-79.75669201,23.68617303,0.070121433,0.051255907,242.798927,-198.4895342
0.8,0,400,10,0.010741139,0.50602,-67.64318068,20.96611718,0.091522437,0.055511439,252.478266,-208.7778643
0.8,0,400,15,0.016111708,0.242844,-52.56034466,19.14625916,0.112204239,0.059900866,261.7518498,-217.1829457
0.8,0,400,23,0.024704619,0.333867,-65.3753249,17.55241485,0.127914685,0.063637117,269.8196383,-225.5779908
